230,1247,1094,1852,2216,2743,3340,3085,2985,2874,1544,695,3072,3141,2768,1443,614,789,3216,2521,2390,2444,2638,2386,1841,1810,1684,1975,1853,1629,1392
221,965,641,1985,1909,2379,3159,2916,3081,2514,1345,765,2983,2792,2374,1255,528,744,3993,3149,2986,3001,3368,2884,2211,2147,2110,2391,2313,1964,1700
356,1798,1450,2553,2922,3487,3571,3841,3981,2150,1733,837,3824,3896,2209,1624,837,902,3671,2976,2751,2610,3059,2549,1959,2017,1990,2183,2173,1648,1478
347,1017,1045,1990,2031,2453,3063,3510,3407,2174,1585,858,3454,3290,1977,1559,813,813,3457,2652,2561,2521,2874,2313,1760,1750,1785,2021,1975,1559,1327
456,1671,1660,2768,2947,3572,3434,3341,3388,2806,1370,990,3184,2962,2740,1327,922,736,3153,2492,2366,2313,2552,2373,1847,1833,1783,1911,1931,1553,1381
572,1552,1558,2252,2639,2861,2991,2969,3005,2579,1472,853,2896,2803,2389,1269,745,715,3826,2936,2803,2899,3177,2798,2196,2116,2151,2437,2332,2009,1831
654,1860,1736,3093,3324,3784,3674,4042,3993,2434,1641,787,3950,3735,2167,1563,747,832,3162,2515,2410,2672,2947,2459,2055,1883,1776,2240,1938,1819,1641
692,1568,1620,2491,2670,2831,3008,3093,3416,2283,1615,746,3165,3276,2060,1388,705,796,3120,2422,2372,2414,2586,2423,1887,1881,1821,1974,1932,1681,1444
787,1575,1563,3086,3149,3450,3442,2899,2933,3215,1517,979,3003,2957,2790,1316,775,724,2849,2306,2113,2262,2513,2191,1702,1617,1669,1960,1822,1516,1332
878,1400,1591,2636,2502,2950,3052,2805,2836,2469,1518,747,2749,2380,2256,1284,585,694,3540,2789,2705,2779,2995,2747,2376,2420,2315,2525,2548,2147,2012
770,1235,1244,2881,2903,3183,3073,3622,3286,2230,1986,780,3424,3408,2056,1820,686,815,2495,1951,2000,1890,2028,2002,1607,1619,1967,1699,1681,1350,1241
317,1438,1434,2233,2428,2590,2414,1989,2148,2112,1483,755,2603,1896,1679,1177,723,767,1777,1357,1389,1397,1525,1383,1087,1166,1186,1305,1168,967,854
333,1302,1173,2311,2714,2468,2662,1487,1539,2532,1398,904,1697,1418,2293,1254,662,665,1874,1449,1518,1495,1601,1387,1097,1247,1222,1271,1259,851,784
128,635,681,1514,1671,1761,1604,1610,1609,1683,1404,675,1611,1455,1598,1122,602,689,1730,1324,1447,1673,1959,1730,1768,1903,1627,1792,1627,1043,902
271,853,964,2130,1928,2309,2210,1302,1420,1205,1508,667,1699,1590,1051,1490,555,713,2581,2178,2031,2276,2573,2314,2072,1916,2063,2264,2203,1815,1748
172,663,922,1425,1512,1651,1742,2430,2168,1101,908,746,2348,2290,903,730,608,713,2698,2222,2253,2495,2655,2365,2179,2258,2252,2353,2173,1961,1883
409,1386,1260,2189,2581,2534,2543,2544,2407,1133,764,599,2522,2329,1060,670,549,616,2553,2055,2036,2140,2406,2316,1937,1864,2037,2052,2014,1693,1553
